Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Population,Value Footnotes
Armenia,2009,Total,Female,Gyumri (Leninakan),City proper,Estimate - de jure,"Final figure, complete",2010,75887,
Armenia,2009,Total,Female,YEREVAN,City proper,Estimate - de jure,"Final figure, complete",2010,594239,
Armenia,2008,Total,Male,Vanadzoz (Kirovakan),City proper,Estimate - de jure,"Final figure, complete",2009,50030,
Armenia,2008,Total,Male,Gyumri (Leninakan),City proper,Estimate - de jure,"Final figure, complete",2009,70256,
Armenia,2008,Total,Male,YEREVAN,City proper,Estimate - de jure,"Final figure, complete",2009,518551,
Armenia,2008,Total,Female,Vanadzoz (Kirovakan),City proper,Estimate - de jure,"Final figure, complete",2009,54856,
Armenia,2008,Total,Female,Gyumri (Leninakan),City proper,Estimate - de jure,"Final figure, complete",2009,76448,
Armenia,2008,Total,Female,YEREVAN,City proper,Estimate - de jure,"Final figure, complete",2009,591029,
Armenia,2007,Total,Male,Vanadzoz (Kirovakan),City proper,Estimate - de jure,"Final figure, complete",2008,50052,
Armenia,2007,Total,Male,Gyumri (Leninakan),City proper,Estimate - de jure,"Final figure, complete",2008,70384,
Armenia,2007,Total,Male,YEREVAN,City proper,Estimate - de jure,"Final figure, complete",2008,516769,
Armenia,2007,Total,Female,Vanadzoz (Kirovakan),City proper,Estimate - de jure,"Final figure, complete",2008,55048,
Armenia,2007,Total,Female,Gyumri (Leninakan),City proper,Estimate - de jure,"Final figure, complete",2008,76966,
Armenia,2007,Total,Female,YEREVAN,City proper,Estimate - de jure,"Final figure, complete",2008,589614,
Armenia,2006,Total,Male,Vanadzoz (Kirovakan),City proper,Estimate - de jure,"Final figure, complete",2007,50011,
Armenia,2006,Total,Male,Gyumri (Leninakan),City proper,Estimate - de jure,"Final figure, complete",2007,70542,
Armenia,2006,Total,Male,YEREVAN,City proper,Estimate - de jure,"Final figure, complete",2007,515699,
Armenia,2006,Total,Female,Vanadzoz (Kirovakan),City proper,Estimate - de jure,"Final figure, complete",2007,55289,
Armenia,2006,Total,Female,Gyumri (Leninakan),City proper,Estimate - de jure,"Final figure, complete",2007,77458,
Armenia,2006,Total,Female,YEREVAN,City proper,Estimate - de jure,"Final figure, complete",2007,588699,
Armenia,2004,Total,Male,Vanadzoz (Kirovakan),City proper,Estimate - de jure,"Final figure, complete",2005,49900,
Armenia,2004,Total,Male,Gyumri (Leninakan),City proper,Estimate - de jure,"Final figure, complete",2005,70700,
Armenia,2004,Total,Male,YEREVAN,City proper,Estimate - de jure,"Final figure, complete",2005,514398,
Armenia,2004,Total,Female,Vanadzoz (Kirovakan),City proper,Estimate - de jure,"Final figure, complete",2005,56000,
Armenia,2004,Total,Female,Gyumri (Leninakan),City proper,Estimate - de jure,"Final figure, complete",2005,78500,
Armenia,2004,Total,Female,YEREVAN,City proper,Estimate - de jure,"Final figure, complete",2005,588029,
Armenia,2001,Total,Male,Vanadzoz (Kirovakan),City proper,Census - de jure - complete tabulation,"Final figure, complete",2009,50284,
Armenia,2001,Total,Male,Gyumri (Leninakan),City proper,Census - de jure - complete tabulation,"Final figure, complete",2009,70846,
Armenia,2001,Total,Male,YEREVAN,City proper,Census - de jure - complete tabulation,"Final figure, complete",2009,513546,
Armenia,2001,Total,Female,Vanadzoz (Kirovakan),City proper,Census - de jure - complete tabulation,"Final figure, complete",2009,57110,
Armenia,2001,Total,Female,Gyumri (Leninakan),City proper,Census - de jure - complete tabulation,"Final figure, complete",2009,80071,
Armenia,2001,Total,Female,YEREVAN,City proper,Census - de jure - complete tabulation,"Final figure, complete",2009,589942,
Aruba,2010,Total,Male,ORANJESTAD,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,13139,
Aruba,2010,Total,Female,ORANJESTAD,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,15156,
Aruba,1991,Total,Male,ORANJESTAD,City proper,Census - de jure - complete tabulation,"Final figure, complete",2002,9441,
Aruba,1991,Total,Female,ORANJESTAD,City proper,Census - de jure - complete tabulation,"Final figure, complete",2002,10604,
Australia,2012,Total,Male,Adelaide,City proper,Estimate - de jure,"Final figure, complete",2014,614513,6
Australia,2012,Total,Male,Brisbane,City proper,Estimate - de jure,"Final figure, complete",2014,1043596,6
Australia,2012,Total,Male,Cairns,City proper,Estimate - de jure,"Final figure, complete",2014,70542,6
Australia,2012,Total,Male,Canberra-Queanbeyan,City proper,Estimate - de jure,"Final figure, complete",2014,205316,6
Australia,2012,Total,Male,Central Coast,City proper,Estimate - de jure,"Final figure, complete",2014,154157,6
Australia,2012,Total,Male,Darwin,City proper,Estimate - de jure,"Final figure, complete",2014,60798,6
Australia,2012,Total,Male,Geelong,City proper,Estimate - de jure,"Final figure, complete",2014,88796,6
Australia,2012,Total,Male,Gold Coast-Tweed Heads,City proper,Estimate - de jure,"Final figure, complete",2014,290597,6
Australia,2012,Total,Male,Greater Adelaide,City proper,Estimate - de jure,"Final figure, complete",2014,628449,6
Australia,2012,Total,Male,Greater Brisbane,City proper,Estimate - de jure,"Final figure, complete",2014,1090482,6
Australia,2012,Total,Male,Greater Darwin,City proper,Estimate - de jure,"Final figure, complete",2014,69000,6
Australia,2012,Total,Male,Greater Hobart,City proper,Estimate - de jure,"Final figure, complete",2014,107343,6
Australia,2012,Total,Male,Greater Melbourne,City proper,Estimate - de jure,"Final figure, complete",2014,2098009,6
Australia,2012,Total,Male,Greater Perth,City proper,Estimate - de jure,"Final figure, complete",2014,949588,6
