Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Population,Value Footnotes
Colombia,2005,Total,Male,Dosquebradas,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,77653,
Colombia,2005,Total,Male,Dosquebradas,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,82336,
Colombia,2005,Total,Male,Duitama,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,50334,
Colombia,2005,Total,Male,Envigado,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,76090,
Colombia,2005,Total,Male,Envigado,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,80417,
Colombia,2005,Total,Male,Facatativá,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,52172,
Colombia,2005,Total,Male,Florencia,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,57772,
Colombia,2005,Total,Male,Florencia,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,68588,
Colombia,2005,Total,Male,Floridablanca,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,112662,
Colombia,2005,Total,Male,Floridablanca,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,118161,
Colombia,2005,Total,Male,Fusagasugá,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,52567,
Colombia,2005,Total,Male,Girón,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,56146,
Colombia,2005,Total,Male,Girón,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,66614,
Colombia,2005,Total,Male,Gudalajara de Buga,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,53852,
Colombia,2005,Total,Male,Ibagué,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,219375,
Colombia,2005,Total,Male,Ibagué,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,235040,
Colombia,2005,Total,Male,Ipiales,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,53057,
Colombia,2005,Total,Male,Itagüi,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,100799,
Colombia,2005,Total,Male,Itagüi,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,111704,
Colombia,2005,Total,Male,Lorica,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,55457,
Colombia,2005,Total,Male,Magangué,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,61212,
Colombia,2005,Total,Male,Maicao,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,50674,
Colombia,2005,Total,Male,Manizales,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,161344,
Colombia,2005,Total,Male,Manizales,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,174970,
Colombia,2005,Total,Male,Medellín,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,1019340,
Colombia,2005,Total,Male,Medellín,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,1037459,
Colombia,2005,Total,Male,Montería,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,136152,
Colombia,2005,Total,Male,Montería,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,185171,
Colombia,2005,Total,Male,Neiva,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,140016,
Colombia,2005,Total,Male,Neiva,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,150374,
Colombia,2005,Total,Male,Palmira,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,105851,
Colombia,2005,Total,Male,Palmira,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,133776,
Colombia,2005,Total,Male,Pasto,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,146724,
Colombia,2005,Total,Male,Pasto,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,181434,
Colombia,2005,Total,Male,Pereira,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,169027,
Colombia,2005,Total,Male,Pereira,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,204977,
Colombia,2005,Total,Male,Piedecuesta,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,56719,
Colombia,2005,Total,Male,Pitalito,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,50942,
Colombia,2005,Total,Male,Popayán,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,106835,
Colombia,2005,Total,Male,Popayán,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,122608,
Colombia,2005,Total,Male,Quibdo,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,45804,
Colombia,2005,Total,Male,Quibdo,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,50520,
Colombia,2005,Total,Male,Riohacha,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,66444,
Colombia,2005,Total,Male,Riohacha,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,82651,
Colombia,2005,Total,Male,Rionegro,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2009,50135,
Colombia,2005,Total,Male,San Andres de Tumaco,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,80815,
Colombia,2005,Total,Male,"BOGOTA, D.C.",City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,3232423,
Colombia,2005,Total,Male,"BOGOTA, D.C.",Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,3240469,
Colombia,2005,Total,Male,Santa Marta,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,183818,
Colombia,2005,Total,Male,Santa Marta,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,199761,
Colombia,2005,Total,Male,Sincelejo,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,105083,
Colombia,2005,Total,Male,Sincelejo,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,114645,
Colombia,2005,Total,Male,Soacha,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,191405,
Colombia,2005,Total,Male,Soacha,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,194170,
Colombia,2005,Total,Male,Sogamoso,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,54515,
Colombia,2005,Total,Male,Soledad,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,221571,
Colombia,2005,Total,Male,Soledad,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,221974,
Colombia,2005,Total,Male,Tuluá,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,74220,
Colombia,2005,Total,Male,Tuluá,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,74220,
Colombia,2005,Total,Male,Tunja,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,68032,
Colombia,2005,Total,Male,Tunja,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,71773,
Colombia,2005,Total,Male,Turbo,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,61785,
Colombia,2005,Total,Male,Uribia,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,57387,
Colombia,2005,Total,Male,Valledupar,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,139398,
Colombia,2005,Total,Male,Valledupar,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,168523,
Colombia,2005,Total,Male,Villavicencio,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,175125,
Colombia,2005,Total,Male,Villavicencio,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,187323,
Colombia,2005,Total,Male,Yopal,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,52129,
Colombia,2005,Total,Male,Zipaquirá,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,48626,
Colombia,2005,Total,Female,Apartadó,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,58816,
Colombia,2005,Total,Female,Apartadó,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,68352,
Colombia,2005,Total,Female,Armenia,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,139652,
Colombia,2005,Total,Female,Armenia,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,142778,
Colombia,2005,Total,Female,Barrancabermeja,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,87347,
Colombia,2005,Total,Female,Barrancabermeja,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,95853,
Colombia,2005,Total,Female,Barranquilla,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,581279,
Colombia,2005,Total,Female,Barranquilla,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,583159,
Colombia,2005,Total,Female,Bello,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,187929,
Colombia,2005,Total,Female,Bello,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,194804,
Colombia,2005,Total,Female,Bucaramanga,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,264659,
Colombia,2005,Total,Female,Bucaramanga,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,268090,
Colombia,2005,Total,Female,Buenaventura,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,151541,
Colombia,2005,Total,Female,Buenaventura,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,167972,
Colombia,2005,Total,Female,Cali,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,1078163,
Colombia,2005,Total,Female,Cali,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,1095850,
Colombia,2005,Total,Female,Cartagena,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,441559,
Colombia,2005,Total,Female,Cartagena,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,466162,
Colombia,2005,Total,Female,Cartago,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,63018,
Colombia,2005,Total,Female,Cartago,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,64209,
Colombia,2005,Total,Female,Ciénaga,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,50925,
Colombia,2005,Total,Female,Cúcuta,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,293702,
Colombia,2005,Total,Female,Cúcuta,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,302625,
Colombia,2005,Total,Female,Dosquebradas,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,86784,
Colombia,2005,Total,Female,Dosquebradas,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,91116,
Colombia,2005,Total,Female,Duitama,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,55073,
Colombia,2005,Total,Female,Envigado,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,90652,
Colombia,2005,Total,Female,Envigado,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,94920,
Colombia,2005,Total,Female,Facatativá,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,53895,
Colombia,2005,Total,Female,Florencia,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,62631,
Colombia,2005,Total,Female,Florencia,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,69308,
Colombia,2005,Total,Female,Floridablanca,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,129023,
Colombia,2005,Total,Female,Floridablanca,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,134311,
Colombia,2005,Total,Female,Fusagasugá,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,54692,
Colombia,2005,Total,Female,Girón,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,61526,
Colombia,2005,Total,Female,Girón,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,68917,
Colombia,2005,Total,Female,Gudalajara de Buga,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,57635,
Colombia,2005,Total,Female,Ibagué,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,246484,
Colombia,2005,Total,Female,Ibagué,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,260206,
Colombia,2005,Total,Female,Ipiales,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,56808,
Colombia,2005,Total,Female,Itagüi,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,112498,
Colombia,2005,Total,Female,Itagüi,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,123863,
Colombia,2005,Total,Female,Lorica,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,54517,
Colombia,2005,Total,Female,Magangué,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,59873,
Colombia,2005,Total,Female,Maicao,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,52450,
Colombia,2005,Total,Female,Manizales,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,181276,
Colombia,2005,Total,Female,Manizales,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,193463,
Colombia,2005,Total,Female,Medellín,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,1164217,
Colombia,2005,Total,Female,Medellín,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,1182402,
Colombia,2005,Total,Female,Montería,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,152040,
Colombia,2005,Total,Female,Montería,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,196113,
Colombia,2005,Total,Female,Neiva,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,155396,
Colombia,2005,Total,Female,Neiva,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,164958,
Colombia,2005,Total,Female,Palmira,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,117198,
Colombia,2005,Total,Female,Palmira,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,144582,
Colombia,2005,Total,Female,Pasto,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,166035,
Colombia,2005,Total,Female,Pasto,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,202412,
Colombia,2005,Total,Female,Pereira,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,189654,
Colombia,2005,Total,Female,Pereira,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,223420,
Colombia,2005,Total,Female,Piedecuesta,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,60195,
Colombia,2005,Total,Female,Pitalito,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,51995,
Colombia,2005,Total,Female,Popayán,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,121005,
Colombia,2005,Total,Female,Popayán,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,136045,
Colombia,2005,Total,Female,Quibdo,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,54309,
Colombia,2005,Total,Female,Quibdo,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,58601,
Colombia,2005,Total,Female,Riohacha,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,70780,
Colombia,2005,Total,Female,Riohacha,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,86660,
Colombia,2005,Total,Female,Rionegro,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2009,50911,
Colombia,2005,Total,Female,San Andres de Tumaco,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,80675,
Colombia,2005,Total,Female,"BOGOTA, D.C.",City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,3530902,
Colombia,2005,Total,Female,"BOGOTA, D.C.",Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,3538222,
Colombia,2005,Total,Female,Santa Marta,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,200173,
Colombia,2005,Total,Female,Santa Marta,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,214626,
Colombia,2005,Total,Female,Sincelejo,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,113347,
Colombia,2005,Total,Female,Sincelejo,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,122135,
Colombia,2005,Total,Female,Soacha,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,201601,
Colombia,2005,Total,Female,Soacha,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,204125,
Colombia,2005,Total,Female,Sogamoso,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,59971,
Colombia,2005,Total,Female,Soledad,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,233458,
Colombia,2005,Total,Female,Soledad,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,233822,
Colombia,2005,Total,Female,Tuluá,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,83292,
Colombia,2005,Total,Female,Tuluá,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,83292,
Colombia,2005,Total,Female,Tunja,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,77106,
Colombia,2005,Total,Female,Tunja,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,80646,
Colombia,2005,Total,Female,Turbo,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,60995,
Colombia,2005,Total,Female,Uribia,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,59287,
Colombia,2005,Total,Female,Valledupar,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,155333,
Colombia,2005,Total,Female,Valledupar,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,180467,
Colombia,2005,Total,Female,Villavicencio,City proper,Census - de facto - complete tabulation,"Final figure, complete",2008,185933,
Colombia,2005,Total,Female,Villavicencio,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,196808,
Colombia,2005,Total,Female,Yopal,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,51625,
Colombia,2005,Total,Female,Zipaquirá,Urban agglomeration,Census - de facto - complete tabulation,"Final figure, complete",2008,51412,
Costa Rica,2011,Total,Male,Alajuela,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,125773,
Costa Rica,2011,Total,Male,Alajuelita,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,37347,
Costa Rica,2011,Total,Male,Cartago,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,72491,
Costa Rica,2011,Total,Male,Desamparados,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,99974,
Costa Rica,2011,Total,Male,Goicoechea,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,54269,
Costa Rica,2011,Total,Male,Heredia,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,58667,
Costa Rica,2011,Total,Male,La Unión,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,47946,
Costa Rica,2011,Total,Male,Limón,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,45744,
Costa Rica,2011,Total,Male,Pavas,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,33878,
Costa Rica,2011,Total,Male,Perez Zeledon,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,65389,
Costa Rica,2011,Total,Male,Puntarenas,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,57246,
Costa Rica,2011,Total,Male,San Carlos,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,82048,
Costa Rica,2011,Total,Male,SAN JOSE,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,136371,
Costa Rica,2011,Total,Male,Pococi,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,63273,
Costa Rica,2011,Total,Female,Alajuela,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,129113,
Costa Rica,2011,Total,Female,Alajuelita,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,40256,
Costa Rica,2011,Total,Female,Cartago,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,75407,
Costa Rica,2011,Total,Female,Desamparados,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,108437,
Costa Rica,2011,Total,Female,Goicoechea,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,60815,
Costa Rica,2011,Total,Female,Heredia,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,64949,
Costa Rica,2011,Total,Female,La Unión,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,51453,
Costa Rica,2011,Total,Female,Limón,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,48671,
Costa Rica,2011,Total,Female,Pavas,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,37506,
Costa Rica,2011,Total,Female,Perez Zeledon,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,69145,
Costa Rica,2011,Total,Female,Puntarenas,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,57773,
Costa Rica,2011,Total,Female,San Carlos,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,81697,
Costa Rica,2011,Total,Female,SAN JOSE,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,151683,
Costa Rica,2011,Total,Female,Pococi,City proper,Census - de jure - complete tabulation,"Final figure, complete",2014,62689,
Costa Rica,2010,Total,Male,Alajuela,City proper,Estimate - de jure,"Final figure, complete",2011,143186,45
Costa Rica,2010,Total,Male,Alajuelita,City proper,Estimate - de jure,"Final figure, complete",2011,63573,45
Costa Rica,2010,Total,Male,Cartago,City proper,Estimate - de jure,"Final figure, complete",2011,77798,45
Costa Rica,2010,Total,Male,Desamparados,City proper,Estimate - de jure,"Final figure, complete",2011,146144,45
Costa Rica,2010,Total,Male,Goicoechea,City proper,Estimate - de jure,"Final figure, complete",2011,65187,45
Costa Rica,2010,Total,Male,Heredia,City proper,Estimate - de jure,"Final figure, complete",2011,65962,45
Costa Rica,2010,Total,Male,La Unión,City proper,Estimate - de jure,"Final figure, complete",2011,52692,45
Costa Rica,2010,Total,Male,Limón,City proper,Estimate - de jure,"Final figure, complete",2011,53804,45
Costa Rica,2010,Total,Male,Pavas,City proper,Estimate - de jure,"Final figure, complete",2011,56156,45
Costa Rica,2010,Total,Male,Perez Zeledon,City proper,Estimate - de jure,"Final figure, complete",2011,65368,45
Costa Rica,2010,Total,Male,Puntarenas,City proper,Estimate - de jure,"Final figure, complete",2011,54840,45
Costa Rica,2010,Total,Male,San Carlos,City proper,Estimate - de jure,"Final figure, complete",2011,77104,45
Costa Rica,2010,Total,Male,SAN JOSE,City proper,Estimate - de jure,"Final figure, complete",2011,174432,45
Costa Rica,2010,Total,Male,Pococi,City proper,Estimate - de jure,"Final figure, complete",2011,79610,45
Costa Rica,2010,Total,Female,Alajuela,City proper,Estimate - de jure,"Final figure, complete",2011,139980,45
Costa Rica,2010,Total,Female,Alajuelita,City proper,Estimate - de jure,"Final figure, complete",2011,62065,45
Costa Rica,2010,Total,Female,Cartago,City proper,Estimate - de jure,"Final figure, complete",2011,77604,45
Costa Rica,2010,Total,Female,Desamparados,City proper,Estimate - de jure,"Final figure, complete",2011,146739,45
Costa Rica,2010,Total,Female,Goicoechea,City proper,Estimate - de jure,"Final figure, complete",2011,66450,45
Costa Rica,2010,Total,Female,Heredia,City proper,Estimate - de jure,"Final figure, complete",2011,66617,45
Costa Rica,2010,Total,Female,La Unión,City proper,Estimate - de jure,"Final figure, complete",2011,52920,45
Costa Rica,2010,Total,Female,Limón,City proper,Estimate - de jure,"Final figure, complete",2011,51113,45
Costa Rica,2010,Total,Female,Pavas,City proper,Estimate - de jure,"Final figure, complete",2011,55921,45
Costa Rica,2010,Total,Female,Perez Zeledon,City proper,Estimate - de jure,"Final figure, complete",2011,65184,45
Costa Rica,2010,Total,Female,Puntarenas,City proper,Estimate - de jure,"Final figure, complete",2011,51180,45
Costa Rica,2010,Total,Female,San Carlos,City proper,Estimate - de jure,"Final figure, complete",2011,73137,45
Costa Rica,2010,Total,Female,SAN JOSE,City proper,Estimate - de jure,"Final figure, complete",2011,174720,45
Costa Rica,2010,Total,Female,Pococi,City proper,Estimate - de jure,"Final figure, complete",2011,71023,45
Costa Rica,2009,Total,Male,Alajuela,City proper,Estimate - de jure,"Final figure, complete",2009,141110,45
Costa Rica,2009,Total,Male,Alajuelita,City proper,Estimate - de jure,"Final figure, complete",2009,60508,45
Costa Rica,2009,Total,Male,Cartago,City proper,Estimate - de jure,"Final figure, complete",2009,77016,45
Costa Rica,2009,Total,Male,Desamparados,City proper,Estimate - de jure,"Final figure, complete",2009,140370,45
Costa Rica,2009,Total,Male,Goicoechea,City proper,Estimate - de jure,"Final figure, complete",2009,64713,45
Costa Rica,2009,Total,Male,Heredia,City proper,Estimate - de jure,"Final figure, complete",2009,64723,45
Costa Rica,2009,Total,Male,La Unión,City proper,Estimate - de jure,"Final figure, complete",2009,51650,45
Costa Rica,2009,Total,Male,Limón,City proper,Estimate - de jure,"Final figure, complete",2009,53440,45
Costa Rica,2009,Total,Male,Pavas,City proper,Estimate - de jure,"Final figure, complete",2009,54649,45
Costa Rica,2009,Total,Male,Perez Zeledon,City proper,Estimate - de jure,"Final figure, complete",2009,65428,45
Costa Rica,2009,Total,Male,Puntarenas,City proper,Estimate - de jure,"Final figure, complete",2009,55003,45
Costa Rica,2009,Total,Male,San Carlos,City proper,Estimate - de jure,"Final figure, complete",2009,76547,45
Costa Rica,2009,Total,Male,SAN JOSE,City proper,Estimate - de jure,"Final figure, complete",2009,172761,45
Costa Rica,2009,Total,Male,Pococi,City proper,Estimate - de jure,"Final figure, complete",2009,77651,45
Costa Rica,2009,Total,Female,Alajuela,City proper,Estimate - de jure,"Final figure, complete",2009,137749,45
Costa Rica,2009,Total,Female,Alajuelita,City proper,Estimate - de jure,"Final figure, complete",2009,59108,45
Costa Rica,2009,Total,Female,Cartago,City proper,Estimate - de jure,"Final figure, complete",2009,76803,45
Costa Rica,2009,Total,Female,Desamparados,City proper,Estimate - de jure,"Final figure, complete",2009,141129,45
Costa Rica,2009,Total,Female,Goicoechea,City proper,Estimate - de jure,"Final figure, complete",2009,66138,45
Costa Rica,2009,Total,Female,Heredia,City proper,Estimate - de jure,"Final figure, complete",2009,65556,45
Costa Rica,2009,Total,Female,La Unión,City proper,Estimate - de jure,"Final figure, complete",2009,51846,45
Costa Rica,2009,Total,Female,Limón,City proper,Estimate - de jure,"Final figure, complete",2009,50774,45
Costa Rica,2009,Total,Female,Pavas,City proper,Estimate - de jure,"Final figure, complete",2009,54558,45
Costa Rica,2009,Total,Female,Perez Zeledon,City proper,Estimate - de jure,"Final figure, complete",2009,65193,45
Costa Rica,2009,Total,Female,Puntarenas,City proper,Estimate - de jure,"Final figure, complete",2009,51234,45
Costa Rica,2009,Total,Female,San Carlos,City proper,Estimate - de jure,"Final figure, complete",2009,72415,45
Costa Rica,2009,Total,Female,SAN JOSE,City proper,Estimate - de jure,"Final figure, complete",2009,173537,45
Costa Rica,2009,Total,Female,Pococi,City proper,Estimate - de jure,"Final figure, complete",2009,69167,45
Costa Rica,2007,Total,Male,Alajuela,City proper,Estimate - de jure,"Final figure, complete",2007,128575,
Costa Rica,2007,Total,Male,Cartago,City proper,Estimate - de jure,"Final figure, complete",2007,74654,
Costa Rica,2007,Total,Male,Heredia,City proper,Estimate - de jure,"Final figure, complete",2007,57969,
Costa Rica,2007,Total,Male,Limón,City proper,Estimate - de jure,"Final figure, complete",2007,53323,
Costa Rica,2007,Total,Male,Puntarenas,City proper,Estimate - de jure,"Final figure, complete",2007,60662,
